certify,approve,speccert,wouldyou,recert,subdisc,college,employ,workenv,workact,yearsmem
5,4,5,2,2,BE,P,S,I,C,25
2,1,5,4,2,CM,M,E,I,C,30
4,4,5,1,5,BI,P,E,A,R,16
1,1,2,1,2,PE,M,E,I,P,5
5,5,5,4,5,CE,P,E,A,E,20
5,0,5,5,5,QP,P,E,I,C,17
2,2,1,1,2,PE,P,E,G,R,20
1,1,1,1,1,EN,P,E,I,R,17
5,5,5,5,3,GV,M,E,G,C,15
3,2,2,4,2,SR,M,E,A,E,4
5,5,5,5,5,SS,P,E,A,E,20
5,5,5,5,5,QP,B,E,I,C,3
1,1,2,1,1,BP,P,E,I,C,12
1,2,2,4,2,CM,P,E,A,E,30
5,5,4,2,1,BA,P,E,A,R,9
2,1,2,2,1,PE,M,E,I,P,5
5,5,5,2,2,GV,M,E,G,P,3
2,2,5,5,3,GV,B,E,G,R,10
2,0,0,0,0,BI,P,E,A,R,18
5,5,5,5,5,SS,P,E,A,R,14
2,4,5,1,5,BE,P,E,A,E,2
4,4,5,5,2,BI,P,E,G,C,6
5,4,5,2,1,BI,P,E,A,R,28
1,1,1,1,2,EN,P,E,A,E,16
2,2,2,1,1,BI,M,E,I,C,8
5,5,5,1,1,CM,P,E,A,E,21
1,1,1,1,1,BA,P,E,A,R,30
2,2,2,2,1,TH,P,E,A,E,13
5,5,5,5,5,BE,B,E,I,P,16
5,5,5,4,3,SS,P,E,A,E,3
5,5,1,2,5,SR,P,E,A,E,23
2,3,5,1,5,EN,P,S,I,C,25
1,1,1,1,5,BI,P,E,A,P,5
1,1,5,1,5,BE,P,R,A,E,2
4,4,3,1,3,BI,M,E,G,P,3
1,1,2,2,1,QP,P,E,A,E,20
1,2,4,1,3,BE,P,E,A,E,35
1,3,1,1,2,MR,M,E,I,P,4
5,5,5,5,1,CE,P,S,A,C,30
2,1,4,5,2,BI,P,E,G,R,20
2,2,4,2,5,BE,P,E,A,E,2
5,5,5,3,3,CM,P,E,A,E,29
2,2,5,2,5,BP,M,E,A,R,2
1,1,5,1,2,BI,P,E,G,R,27
5,5,5,5,3,BE,P,E,A,E,14
1,1,2,2,5,PE,P,E,A,R,29
1,1,2,1,4,CE,P,E,A,E,20
5,5,5,5,5,TH,P,E,A,R,23
5,5,5,5,5,CM,P,E,G,R,10
2,3,2,2,4,BE,P,E,A,E,2
2,3,1,2,2,BE,M,E,I,P,7
5,5,5,5,5,CE,M,I,A,S,2
1,1,1,4,1,BE,M,E,A,E,2
5,5,5,5,5,EN,P,E,A,R,3
4,5,5,4,5,BI,P,E,A,R,5
5,5,5,5,5,BE,P,E,A,E,24
2,2,5,1,2,TH,P,E,A,R,20
4,5,3,4,4,BE,B,E,I,P,1
5,5,5,4,3,SG,P,E,A,E,17
2,3,2,2,1,GV,P,E,A,E,25
5,5,5,5,3,BP,M,E,I,C,5
4,5,5,5,1,BE,P,E,A,R,8
1,1,1,1,2,BE,P,E,A,E,15
5,3,5,1,3,BI,P,E,I,P,10
1,1,2,1,2,BI,M,E,I,P,10
4,4,4,2,5,PE,M,E,G,C,10
1,2,2,1,5,PE,M,E,I,C,30
4,4,5,5,3,BI,P,E,A,R,17
1,1,5,1,1,CE,P,E,A,E,25
1,1,1,1,3,BP,M,E,I,P,9
2,4,2,2,1,GV,M,S,I,C,20
1,2,5,2,2,CM,M,E,I,R,2
1,1,5,1,1,BE,P,E,A,E,24
1,1,2,5,2,BA,P,E,A,R,30
1,3,1,1,1,BP,P,E,I,C,17
4,4,4,4,4,BP,M,E,I,P,1
4,3,4,2,5,BI,P,E,A,C,10
5,5,5,5,5,PE,P,E,I,R,5
5,5,2,1,4,EN,M,E,I,R,2
1,1,2,1,2,CE,P,E,I,R,20
3,5,1,1,2,PE,M,E,I,C,27
5,5,5,5,3,BI,P,S,I,C,19
5,5,2,5,2,SS,P,E,A,E,2
2,2,4,2,4,BI,M,E,I,P,3
2,2,5,1,5,BI,P,E,A,R,14
2,2,4,2,4,BI,P,E,A,E,13
1,1,1,1,3,GV,M,E,G,C,30
5,5,5,5,5,SS,P,E,A,R,35
2,2,2,5,2,SS,M,E,G,P,20
1,0,0,1,5,EN,M,E,G,P,3
2,5,2,2,3,GV,P,E,G,R,17
2,3,2,2,2,BE,B,E,I,P,1
2,2,5,1,1,BP,M,E,I,C,20
5,5,5,1,5,BP,P,E,A,C,25
1,2,1,4,3,CM,M,E,A,E,10
5,5,5,4,2,PE,M,E,I,P,3
5,5,5,5,5,PE,P,E,I,P,10
4,3,4,1,2,CM,P,E,A,E,25
2,2,2,1,3,BI,P,E,A,R,20
1,3,5,1,1,BE,P,E,A,E,16
4,5,0,4,2,BI,P,E,A,E,15
2,2,4,5,2,PE,P,E,G,C,45
5,5,5,5,1,CE,P,R,A,E,25
1,2,2,1,2,EN,P,E,A,R,15
2,2,3,1,2,QP,P,E,A,E,10
3,3,3,5,5,PE,P,R,G,R,58
5,5,5,5,3,BI,P,E,G,P,20
5,5,5,5,3,BI,P,E,I,P,20
5,5,5,5,5,BI,M,R,G,R,25
5,5,5,5,1,CM,P,S,I,C,15
1,2,3,2,0,PE,P,E,A,E,36
5,5,5,5,5,CM,P,E,A,E,23
5,0,5,5,5,QP,M,R,I,C,10
2,3,2,4,1,CM,M,E,G,R,5
5,5,5,5,5,CM,M,E,I,R,30
5,5,5,1,1,TH,B,E,A,P,2
3,2,5,5,2,CE,P,E,A,E,21
5,3,5,4,3,PE,M,E,I,P,7
1,2,5,2,5,PE,P,E,I,R,20
2,2,4,2,5,EN,P,E,G,C,3
2,2,4,2,3,BP,P,E,I,P,10
5,5,5,5,5,PE,P,R,I,P,35
5,5,5,5,5,BA,P,E,A,R,9
3,4,2,3,5,BP,M,E,I,P,12
5,5,5,5,5,BE,P,E,A,R,4
2,2,3,1,1,QP,P,E,A,E,17
5,5,2,2,5,BA,P,E,A,E,12
1,1,2,1,1,BI,P,E,A,C,7
5,5,5,3,3,BE,P,E,A,R,1
5,5,5,3,0,SS,P,E,G,R,1
1,1,3,1,3,BE,P,E,I,R,3
5,5,5,1,5,QP,P,E,I,C,20
1,2,2,1,4,BI,M,E,I,P,17
5,5,5,1,5,CM,P,E,I,C,25
2,2,3,2,4,BE,M,R,G,P,15
3,5,3,4,5,BE,M,E,I,P,2
1,2,1,2,1,MR,P,E,I,C,15
5,5,5,5,1,CM,M,E,I,P,27
1,2,3,2,1,CM,M,E,A,P,40
1,2,2,1,2,CE,M,E,I,C,10
5,5,5,5,5,PE,P,E,I,R,11
2,2,5,4,5,PE,M,E,I,C,23
2,2,1,5,1,SR,M,R,G,C,44
5,5,5,1,2,BP,P,E,G,P,1
5,5,5,5,5,QP,M,E,I,C,2
2,3,2,4,1,BE,P,E,A,E,2
1,1,2,4,5,EN,M,E,G,P,1
1,1,2,1,3,BI,M,E,I,C,13
5,3,1,1,5,BP,P,E,I,P,8
5,0,5,5,5,GV,B,E,G,P,9
1,2,1,2,3,SS,P,E,I,R,15
5,5,5,5,5,BP,P,E,I,P,16
5,5,2,5,3,BE,P,S,A,C,25
1,1,5,1,1,BI,P,E,A,C,22
1,2,2,1,5,BP,M,E,I,P,3
5,5,3,5,2,BE,M,E,G,P,11
5,5,5,5,5,BI,P,S,I,P,15
2,2,3,2,3,CE,P,E,A,E,30
1,1,2,4,2,QP,M,R,I,P,10
1,1,1,1,1,QP,M,I,I,P,1
4,2,5,5,5,EN,P,E,A,E,12
2,4,5,4,5,CM,P,E,A,E,2
1,1,5,2,0,SS,P,R,A,C,1
1,2,5,2,2,CE,P,E,A,E,19
2,4,5,2,5,QP,P,E,A,E,27
5,5,5,1,5,BP,P,E,I,P,23
2,3,2,2,4,PE,P,E,A,R,3
1,2,2,4,1,QP,P,R,A,E,36
5,5,5,3,5,GV,M,E,G,R,2
5,5,5,5,5,BI,P,E,A,R,14
5,5,1,5,1,BA,P,E,A,E,3
1,1,1,1,1,BI,M,E,A,P,23
1,1,2,1,2,EN,M,E,I,P,2
2,2,4,1,2,BI,M,E,G,P,14
1,2,3,1,2,BI,M,E,G,R,7
5,5,5,5,2,BI,P,E,A,E,20
5,4,3,5,2,BE,P,E,A,E,2
2,2,2,1,1,BA,P,E,A,E,8
2,3,2,1,5,BE,P,E,A,R,10
3,3,5,5,5,BI,P,E,A,E,20
5,5,5,5,5,BP,M,E,I,R,6
5,5,5,2,2,SS,P,S,G,R,15
1,2,2,1,1,BE,M,E,I,C,8
3,3,2,1,5,SS,P,E,I,R,4
1,1,2,2,1,BI,P,E,A,E,30
2,2,3,1,1,PE,P,E,I,C,24
2,3,5,5,1,BI,P,S,I,R,20
5,5,5,5,1,PE,P,R,A,C,40
5,5,5,2,5,BI,P,E,A,E,2
2,3,5,5,3,CE,M,E,A,E,1
1,2,4,2,2,BI,P,E,A,R,25
1,2,4,1,5,GV,M,E,G,C,14
5,5,5,2,5,BI,P,E,A,R,20
2,3,2,5,2,CE,P,R,A,E,30
5,5,5,5,1,BP,P,E,I,P,30
1,1,5,1,2,BP,P,E,I,C,18
1,1,1,5,1,EN,P,E,A,E,4
1,0,1,1,1,PE,M,E,I,P,12
5,5,5,4,5,SR,P,E,G,C,20
2,3,2,2,5,SR,M,E,G,P,6
1,1,5,1,3,QP,M,E,I,C,2
5,5,5,5,5,BE,P,E,A,R,2
5,3,5,4,5,BP,P,E,I,R,9
5,5,5,5,5,BI,P,E,G,P,30
1,2,1,1,1,SR,M,E,G,C,29
4,3,4,5,3,SR,M,E,I,C,5
5,5,5,4,3,BI,M,E,G,R,20
5,5,5,5,3,PE,P,E,A,E,19
3,2,5,4,4,CM,M,E,G,C,18
1,5,5,2,5,BI,P,E,G,P,20
2,2,1,1,5,GV,M,E,G,C,2
5,4,3,4,1,PE,B,S,I,C,20
5,5,5,1,5,BP,M,E,A,R,5
5,5,5,5,5,GV,B,E,G,R,30
2,2,4,1,4,BI,P,U,A,R,25
5,5,5,5,5,BI,M,E,G,C,15
5,3,5,5,2,SG,P,E,A,R,8
2,4,5,2,1,PE,P,E,A,R,25
1,1,5,1,5,BI,P,E,A,R,10
5,5,5,2,3,BI,P,E,G,R,5
5,5,5,5,3,BI,P,E,A,R,28
4,4,2,4,5,SS,P,E,I,P,16
5,5,2,1,2,BA,P,S,G,R,3
5,5,5,4,5,BI,M,E,I,R,15
2,4,4,2,4,EN,P,E,A,E,6
1,3,3,5,2,GV,M,R,G,P,40
5,5,5,4,5,GV,M,E,G,P,5
5,5,5,4,5,BI,P,E,G,R,22
5,5,5,5,5,BP,M,E,I,P,3
1,3,2,2,5,PE,P,E,A,E,14
1,3,2,2,1,CM,B,E,I,P,1
5,5,4,2,2,BP,M,E,I,P,5
2,2,4,2,5,BE,P,E,A,E,3
5,5,5,5,5,EN,P,R,A,E,40
5,5,5,4,5,EN,M,E,G,C,15
1,1,2,1,1,PE,P,E,I,P,24
2,2,5,1,4,CE,M,E,G,C,5
3,3,5,5,1,SS,P,R,A,R,40
4,4,5,2,5,SR,M,E,I,R,1
5,0,5,3,5,BE,M,E,I,P,6
5,5,5,2,5,CE,M,E,A,E,1
5,5,5,5,5,CM,P,E,G,P,25
5,5,5,1,5,SS,P,E,A,R,21
1,3,3,1,2,BE,P,E,G,R,20
5,5,5,5,5,BP,M,E,I,P,16
2,3,5,1,5,SR,B,E,I,C,1
2,0,0,1,2,CM,M,I,A,S,4
1,5,1,5,1,CE,P,E,A,E,10
3,3,4,1,4,BP,M,E,I,C,4
1,2,4,1,2,SR,P,E,G,O,13
5,5,5,5,5,BE,M,E,I,C,12
5,5,5,4,5,BE,M,E,I,R,1
5,5,5,5,5,SS,P,E,G,R,25
1,3,5,4,2,BE,P,E,G,P,20
2,2,3,2,2,PE,M,E,I,P,18
2,3,2,2,1,QP,M,E,I,C,6
5,5,5,5,1,GV,M,E,G,P,35
5,5,5,5,5,BI,P,E,I,C,10
1,1,1,1,1,BI,P,E,G,C,10
5,5,5,5,5,BI,P,E,G,C,30
5,5,5,5,5,BE,M,S,I,C,8
1,2,1,1,1,SR,P,E,A,R,12
1,1,2,1,2,BE,P,S,I,C,17
5,5,5,5,5,BP,P,E,G,R,8
2,2,5,2,5,MR,P,E,I,R,1
2,2,2,2,2,GV,P,E,G,R,1
5,5,5,5,5,GV,M,E,G,R,15
5,5,5,1,5,BP,M,E,I,R,2
5,4,5,1,1,PE,P,E,G,R,1
5,5,5,5,5,SR,M,E,I,P,12
1,1,2,1,2,BP,P,S,I,C,10
2,2,4,1,2,BI,P,E,I,R,25
4,3,5,1,5,BP,P,E,I,P,11
1,2,2,1,2,BP,P,E,I,P,8
5,4,5,5,5,BA,P,E,A,R,30
1,1,2,1,2,PE,M,E,G,C,1
5,5,5,5,5,CM,M,E,A,E,15
4,5,5,4,2,GV,M,U,G,P,10
5,5,5,3,5,GV,M,E,G,C,3
3,2,1,1,1,CE,P,E,A,E,6
1,1,5,1,5,BE,M,E,I,R,23
2,2,4,1,2,BP,P,E,I,P,21
5,5,5,4,5,SR,P,E,G,P,22
5,5,5,3,5,CE,P,E,A,E,16
2,2,2,2,1,EN,P,E,A,R,20
5,4,5,1,5,BI,P,E,I,S,3
5,5,5,5,5,CM,M,E,I,P,3
1,1,2,1,5,PE,P,E,A,E,8
3,3,3,5,3,GV,B,E,G,P,10
3,4,3,2,4,BP,M,E,A,R,1
2,2,4,2,4,PE,P,E,I,R,9
5,5,5,1,5,CM,M,E,A,C,13
5,5,5,5,5,SR,P,E,G,P,25
5,5,5,5,5,BA,P,E,A,R,10
5,5,5,4,5,BE,M,E,I,R,3
5,5,5,5,1,BE,P,E,A,E,15
3,3,4,5,3,TH,P,E,A,E,25
1,2,3,4,5,PE,P,E,A,E,20
2,2,4,2,2,EN,P,E,I,C,30
4,3,4,4,2,BI,P,R,I,P,40
1,3,5,5,1,CE,P,R,A,E,40
5,5,5,5,5,QP,M,E,A,E,8
2,3,3,4,4,QP,P,E,A,E,11
5,5,5,4,3,EN,P,S,I,C,1
5,5,5,5,2,BE,P,E,A,R,3
5,5,5,5,1,SS,P,E,A,R,13
5,5,5,2,5,BI,M,E,G,R,4
2,2,4,2,2,BI,M,E,G,R,18
5,5,5,5,5,SE,P,E,A,E,35
1,1,5,1,1,BI,P,E,A,C,22
5,5,5,2,5,QP,M,S,I,C,31
5,5,5,5,5,SS,P,E,A,R,15
5,5,5,5,5,PE,P,E,A,R,24
5,5,5,1,5,SG,P,E,A,E,5
5,4,5,4,2,QP,M,E,I,P,1
1,1,5,1,1,GV,M,E,G,P,18
1,2,2,1,2,PE,P,E,G,C,5
5,4,1,2,1,BE,M,E,I,P,14
3,3,5,2,4,BE,P,E,A,R,20
5,5,5,5,5,BP,P,E,I,P,18
5,5,5,5,5,BE,P,E,G,P,14
5,5,5,2,5,QP,M,E,I,C,7
2,4,2,2,5,CM,P,E,I,C,6
4,3,5,1,3,BI,M,E,G,R,18
5,4,2,4,5,QP,M,E,I,C,1
1,2,5,1,4,BE,M,E,I,C,2
1,1,5,2,5,BE,P,E,I,R,4
5,5,5,2,1,BP,M,E,I,P,5
5,5,5,5,5,GV,B,R,G,R,34
3,3,3,5,3,GV,M,E,G,R,2
2,4,5,1,5,CM,M,E,I,P,13
5,5,5,5,5,GV,P,E,G,P,35
5,0,0,5,0,SR,M,S,I,C,40
2,3,2,4,2,GV,M,E,G,P,12
3,3,5,2,5,BP,M,E,I,C,15
1,1,2,1,2,CM,M,E,A,C,10
5,5,5,5,5,BI,P,E,A,E,20
5,5,5,1,1,MR,P,E,A,E,15
4,3,1,2,1,PE,P,E,I,P,12
5,3,5,5,5,BI,P,S,A,C,30
5,5,5,3,3,SS,P,E,A,E,20
4,3,4,2,4,SR,P,E,G,R,10
5,4,3,2,5,GV,M,E,G,P,4
2,2,1,4,5,SR,M,E,I,P,1
1,1,1,4,1,BE,P,E,A,E,20
1,3,3,1,5,BI,M,E,G,R,1
5,5,5,5,5,BI,P,E,A,E,20
4,2,5,5,2,PE,P,R,A,R,45
4,4,5,3,2,SP,P,E,A,E,6
2,2,4,2,3,CM,P,E,A,R,25
5,5,5,4,5,BP,M,E,I,R,10
5,5,5,5,5,BI,P,E,A,R,10
1,2,4,2,4,BI,P,E,A,E,5
3,1,3,2,2,CE,P,E,A,E,35
5,4,5,1,5,SS,P,E,A,E,1
2,3,1,1,5,BE,P,E,A,R,2
5,5,5,5,5,BA,P,E,A,R,21
5,5,5,5,1,BE,P,E,A,E,5
1,1,5,1,5,BE,M,E,I,P,2
2,5,5,4,5,PE,M,E,G,P,3
5,5,5,2,2,BI,M,E,A,C,4
1,4,5,2,3,BP,P,I,A,S,3
1,1,1,1,1,BP,P,E,I,R,23
2,2,4,1,3,QP,M,E,I,P,8
4,4,5,5,3,BI,P,E,A,E,2
5,5,5,5,3,QP,M,E,I,C,5
5,5,5,2,1,SS,P,E,A,R,2
3,3,3,3,3,CM,M,E,A,C,2
1,2,2,1,5,BI,P,E,G,R,5
2,2,1,2,5,BI,P,E,A,E,1
2,4,5,2,3,GV,P,E,G,C,20
5,5,1,1,1,BA,B,E,I,P,1
5,5,5,3,5,BI,P,E,A,R,24
5,5,5,5,5,BI,P,E,I,C,15
1,2,1,1,4,CM,M,S,G,R,1
2,4,1,2,1,BI,M,E,I,R,9
2,2,2,4,5,PE,P,E,A,R,30
5,5,5,5,1,BI,P,E,G,R,24
2,4,4,5,3,SS,P,E,I,C,1
5,5,5,4,5,CM,P,E,I,P,15
5,5,5,1,2,BE,P,E,A,E,20
5,5,5,5,5,BE,P,E,A,R,20
2,5,5,2,5,BP,P,E,I,C,20
1,1,1,1,5,QP,P,E,A,E,24
1,3,5,1,5,BP,P,E,I,R,18
5,5,5,2,5,BP,P,S,A,R,3
5,3,2,1,1,BI,P,S,I,C,16
1,3,1,1,5,CM,P,E,A,E,5
5,5,5,1,5,PE,P,E,I,C,18
2,4,2,2,2,PE,M,E,I,C,6
5,5,5,5,3,SS,P,R,A,R,2
5,4,5,2,2,BP,P,E,I,P,20
1,2,4,1,2,BI,P,E,A,P,24
5,5,5,5,5,BI,P,E,A,R,10
2,2,2,5,5,TH,P,E,A,E,5
5,5,5,5,3,BI,P,E,I,R,3
2,3,2,1,1,BE,M,E,I,P,2
1,1,1,1,1,SS,P,E,A,R,24
5,5,5,2,5,BA,P,E,G,P,20
1,2,2,1,1,SS,M,E,A,R,5
3,3,3,3,3,SS,P,E,A,R,46
5,5,1,5,1,PE,P,E,I,P,20
5,4,5,3,4,BI,M,E,G,R,5
2,3,5,2,5,SR,M,E,G,C,18
2,2,3,1,3,SR,M,E,G,C,3
5,5,5,5,5,CM,P,E,G,R,2
5,5,5,5,5,BE,P,E,I,R,8
5,5,5,5,5,SR,M,E,G,R,1
1,1,2,1,2,GV,M,E,G,P,2
5,5,5,5,5,SS,P,E,G,C,12
5,5,5,5,5,SR,M,E,G,P,18
5,5,5,5,5,SR,B,E,G,P,30
1,2,1,1,2,CM,P,E,A,R,2
1,0,1,1,1,BI,P,E,A,R,3
1,2,2,1,1,QP,M,E,I,C,5
1,1,1,1,1,BE,M,E,I,P,20
2,5,2,2,2,BI,P,E,G,R,20
1,1,4,1,4,BI,P,E,A,E,25
1,1,5,5,5,BI,M,E,I,P,30
5,5,5,1,5,BE,P,E,G,P,20
2,4,2,1,2,SS,P,E,A,E,20
2,4,3,5,4,CE,P,E,A,E,9
2,3,2,2,4,BI,M,E,G,R,2
5,5,5,2,5,BA,M,I,A,S,4
5,5,5,5,1,SS,B,E,A,R,3
2,2,5,1,2,TH,P,E,A,E,13
5,5,5,5,5,PE,P,E,A,R,21
5,5,3,3,3,BI,P,E,A,R,13
5,5,5,5,5,CM,P,E,A,E,11
2,2,4,1,3,SS,P,E,A,R,7
1,1,5,1,1,PE,P,E,A,R,23
5,5,5,4,5,SS,P,E,A,R,10
5,5,5,4,2,BE,P,E,A,R,30
1,1,1,1,1,BI,M,E,I,R,30
5,5,5,5,5,QP,P,S,I,C,30
1,1,5,1,5,QP,M,E,G,P,20
5,5,5,2,5,BP,B,E,I,P,1
5,5,5,5,5,PE,P,E,A,E,25
5,5,5,5,3,PE,P,E,A,E,24
5,3,4,5,1,BA,P,E,A,E,25
2,3,4,2,4,GV,M,E,G,P,21
2,2,5,2,5,BI,P,E,A,R,25
2,2,2,2,5,BI,M,E,I,P,14
5,5,5,5,1,GV,P,E,G,P,20
1,1,1,1,1,BE,P,E,I,C,7
2,2,2,1,2,EN,M,E,I,C,11
2,2,2,2,2,BP,P,E,I,C,8
2,3,3,1,5,TH,M,I,A,S,5
5,5,5,1,5,EN,M,E,I,R,7
5,5,5,5,5,BE,M,E,I,C,10
5,1,2,5,2,GV,B,E,G,P,1
5,5,5,2,1,SR,M,E,I,P,3
2,2,5,1,2,SS,P,E,A,E,29
5,5,2,4,2,BI,M,E,I,C,22
5,5,5,5,4,GV,P,E,G,R,10
5,5,5,4,5,CE,P,E,I,C,15
4,4,5,5,5,SS,P,E,A,E,25
4,5,4,4,4,BI,M,E,I,R,4
2,3,2,2,4,QP,M,E,I,P,1
1,1,2,1,2,PE,P,E,I,R,2
2,1,2,1,5,EP,P,E,I,R,2
1,2,1,1,2,QP,B,E,I,P,1
1,2,5,1,1,MR,P,E,I,P,2
5,5,5,5,5,PE,M,R,G,P,5
1,1,2,1,2,MR,B,S,I,P,25
3,3,3,5,3,CE,P,S,I,C,1
1,1,1,1,1,CM,P,E,I,P,13
1,1,2,1,3,PE,P,S,I,C,24
2,2,2,4,2,BE,P,R,I,P,47
5,5,5,5,5,PE,M,I,A,S,11
5,5,5,2,5,BI,P,E,A,R,3
1,1,2,1,1,GV,M,E,G,R,15
5,3,5,5,3,GV,P,E,G,R,16
5,5,5,2,3,PE,P,S,I,C,37
5,5,5,5,5,BE,P,E,A,E,40
1,4,4,2,5,QP,M,E,I,P,15
3,3,0,4,2,PE,M,E,I,P,1
3,3,5,4,0,BE,P,E,A,E,1
5,5,5,5,5,BI,P,E,I,R,10
2,2,2,1,1,PE,P,E,A,E,8
2,2,5,1,5,SS,P,E,A,R,16
5,5,5,5,5,BP,M,E,I,P,5
1,1,5,1,2,BP,M,E,A,P,3
1,1,2,1,1,QP,P,E,A,E,25
5,5,5,5,5,BI,P,E,A,R,14
5,5,5,4,5,BE,P,E,A,R,20
2,2,1,2,2,CE,P,E,A,E,18
4,3,4,1,4,BP,P,E,A,R,35
5,5,5,4,5,BP,P,E,I,P,14
1,2,2,2,2,EN,P,E,G,C,28
2,2,1,2,1,PE,P,E,I,P,2
2,2,4,4,4,PE,P,E,A,E,3
5,5,2,4,1,BI,P,E,I,C,24
1,1,1,1,5,SS,P,E,A,R,2
5,5,5,2,1,SR,M,E,G,P,15
5,5,5,5,3,BE,P,E,I,P,25
4,4,2,5,2,BE,P,E,G,P,18
1,3,4,1,2,QP,M,E,I,C,4
2,2,3,2,4,TH,M,I,A,S,3
2,5,2,4,3,PE,P,E,G,C,5
5,5,5,1,5,BE,P,E,I,C,33
5,5,5,5,5,SR,P,E,G,P,17
1,2,2,1,4,BE,P,E,A,E,40
2,0,3,2,1,CM,M,E,A,E,24
4,5,4,2,5,BI,M,E,G,R,4
4,5,4,5,3,GV,P,E,I,R,10
3,3,2,1,2,SR,M,E,G,P,22
5,5,5,5,5,BI,P,E,I,R,3
5,5,5,5,5,BE,P,E,A,R,25
1,3,5,1,1,BA,P,E,A,E,2
5,5,5,5,5,SS,M,E,G,P,10
3,3,3,1,1,BP,P,E,I,R,2
2,1,2,1,1,BE,M,E,A,E,2
1,1,1,1,2,PE,M,E,I,C,15
5,5,5,5,3,EN,P,R,G,R,40
3,3,2,2,2,CE,M,S,I,C,2
4,4,5,4,3,BI,P,E,I,R,20
2,1,2,4,4,TH,P,E,G,R,20
4,5,3,5,3,BE,P,E,A,E,20
1,1,2,1,1,PE,M,E,I,P,19
5,5,5,5,1,TH,P,E,A,E,2
1,3,1,1,1,BE,P,E,A,E,16
1,1,2,1,1,MR,B,E,I,C,3
5,5,5,5,5,BI,P,I,A,C,10
5,5,5,5,5,TH,P,E,A,E,22
4,4,4,5,3,GV,P,E,G,R,15
5,5,5,5,5,BE,P,E,I,R,25
2,3,3,5,3,GV,M,E,G,C,20
5,4,5,5,2,QP,M,E,I,C,13
2,1,3,2,3,PE,P,E,G,C,20
5,5,5,5,5,SR,P,E,G,P,15
5,5,5,5,5,SR,P,E,I,R,13
5,5,5,5,3,SS,P,E,A,R,12
5,5,5,5,5,BE,P,E,G,R,7
5,5,5,5,5,PE,P,E,G,P,1
5,5,5,5,5,SS,P,E,A,R,25
5,5,5,5,5,BI,P,E,G,R,17
5,5,5,5,5,BE,P,E,I,E,30
1,3,2,1,2,BP,M,E,I,P,14
4,4,1,4,4,BI,M,E,G,P,15
5,5,5,5,5,SR,P,E,I,R,10
2,2,5,4,5,CM,M,E,A,R,14
5,5,5,5,5,BI,P,E,A,E,7
4,3,4,5,5,TH,P,E,A,E,25
5,5,5,5,5,BP,P,E,I,P,9
5,5,5,2,5,CM,M,E,A,P,3
1,1,5,1,5,QP,P,S,I,C,16
5,5,5,5,2,BI,P,R,A,E,53
2,2,5,1,2,EN,P,E,A,E,2
4,5,5,4,5,SS,P,E,I,R,6
2,2,2,1,1,BI,P,E,I,C,20
1,1,1,1,1,CE,P,R,I,C,20
1,1,1,1,2,MR,P,S,I,P,1
4,4,4,3,2,BI,P,E,I,E,16
1,1,4,2,1,CM,M,I,A,S,1
1,2,2,1,1,QP,M,E,I,P,2
1,2,1,5,1,PE,P,E,A,R,15
5,5,5,3,5,SS,P,E,A,R,8
2,3,3,2,1,BE,P,R,I,C,20
1,1,5,5,1,SS,P,S,G,R,13
1,1,5,1,4,BI,M,E,A,P,6
5,5,5,1,5,BP,P,E,I,R,1
5,4,4,5,5,BI,P,E,A,R,20
