WAGE,ED,EDSTR,AGE,SEX,FEMALE,NONWH,HISP,HSDROP,HSGRAD,ASSOC,BACH,EXP
6.5,12,HSGRAD,46,MALE,0,0,0,0,1,0,0,32
9,8,HSDROP,47,MALE,0,0,0,1,0,0,0,28
3.35,12,HSGRAD,18,MALE,0,0,0,0,1,0,0,1
4.5,12,HSGRAD,25,FEMALE,1,0,0,0,1,0,0,11
10.53,14,ASSOC,32,FEMALE,1,0,0,0,0,1,0,8
3.5,9,HSDROP,62,MALE,0,0,0,1,0,0,0,51
15,16,BACH,34,MALE,0,0,0,0,0,0,1,16
8.5,12,HSGRAD,43,FEMALE,1,0,0,0,1,0,0,28
9.17,12,HSGRAD,62,FEMALE,1,0,0,0,1,0,0,43
9.6,9,HSDROP,48,MALE,0,0,0,1,0,0,0,30
6.88,8,HSDROP,36,FEMALE,1,0,1,1,0,0,0,16
13.95,18,BACH,38,FEMALE,1,0,0,0,0,0,1,9
10,14,ASSOC,42,MALE,0,1,0,0,0,1,0,24
3.75,12,HSGRAD,59,FEMALE,1,0,0,0,1,0,0,31
8,12,HSGRAD,26,FEMALE,1,0,0,0,1,0,0,8
11.67,12,HSGRAD,61,FEMALE,1,0,0,0,1,0,0,31
8.89,8,HSDROP,43,FEMALE,1,1,0,1,0,0,0,32
4,12,HSGRAD,24,MALE,0,1,0,0,1,0,0,10
5.5,12,HSGRAD,39,FEMALE,1,1,0,0,1,0,0,17
3.35,16,BACH,25,MALE,0,1,0,0,0,0,1,9
10.81,12,HSGRAD,58,FEMALE,1,0,0,0,1,0,0,34
7,12,HSGRAD,23,MALE,0,0,0,0,1,0,0,7
10,13,HSGRAD,53,MALE,0,0,0,0,1,0,0,32
5.4,16,BACH,32,FEMALE,1,0,0,0,0,0,1,9
7.5,12,HSGRAD,28,FEMALE,1,0,0,0,1,0,0,14
11.25,12,HSGRAD,59,MALE,0,0,0,0,1,0,0,41
10,10,HSDROP,41,FEMALE,1,0,0,1,0,0,0,26
4,13,HSGRAD,19,MALE,0,0,0,0,1,0,0,6
13.51,18,BACH,38,MALE,0,0,0,0,0,0,1,16
6.75,12,HSGRAD,40,MALE,0,0,0,0,1,0,0,26
14.29,14,ASSOC,52,FEMALE,1,0,0,0,0,1,0,19
9.75,15,ASSOC,30,FEMALE,1,0,0,0,0,1,0,0
3.35,12,HSGRAD,18,FEMALE,1,0,0,0,1,0,0,0
3.4,8,HSDROP,63,FEMALE,1,0,0,1,0,0,0,51
5.62,14,ASSOC,52,FEMALE,1,0,0,0,0,1,0,34
7,12,HSGRAD,25,MALE,0,0,0,0,1,0,0,12
10,16,BACH,32,FEMALE,1,0,0,0,0,0,1,11
6.1,10,HSDROP,60,FEMALE,1,0,0,1,0,0,0,43
4.17,12,HSGRAD,45,FEMALE,1,0,0,0,1,0,0,21
4.8,12,HSGRAD,34,FEMALE,1,0,0,0,1,0,0,16
5.75,12,HSGRAD,21,MALE,0,0,0,0,1,0,0,6
4.75,12,HSGRAD,26,MALE,0,0,0,0,1,0,0,9
9.37,17,BACH,30,MALE,0,0,0,0,0,0,1,13
5.25,12,HSGRAD,26,FEMALE,1,0,0,0,1,0,0,8
4.95,9,HSDROP,57,FEMALE,1,0,0,1,0,0,0,33
19.38,16,BACH,33,FEMALE,1,0,0,0,0,0,1,12
19.98,12,HSGRAD,41,MALE,0,0,0,0,1,0,0,26
4,12,HSGRAD,22,MALE,0,0,0,0,1,0,0,3
5,12,HSGRAD,18,FEMALE,1,0,0,0,1,0,0,1
10.58,14,ASSOC,45,MALE,0,0,0,0,0,1,0,29
10,12,HSGRAD,40,MALE,0,1,0,0,1,0,0,24
7.38,14,ASSOC,35,FEMALE,1,0,1,0,0,1,0,13
12.5,15,ASSOC,31,MALE,0,0,0,0,0,1,0,11
4,16,BACH,42,FEMALE,1,0,0,0,0,0,1,22
15.03,12,HSGRAD,42,FEMALE,1,0,0,0,1,0,0,26
16,12,HSGRAD,30,MALE,0,0,0,0,1,0,0,16
3.56,12,HSGRAD,30,FEMALE,1,0,1,0,1,0,0,12
4.5,12,HSGRAD,34,MALE,0,0,1,0,1,0,0,20
4.55,12,HSGRAD,22,FEMALE,1,0,1,0,1,0,0,1
3.6,12,HSGRAD,61,FEMALE,1,0,1,0,1,0,0,42
8,12,HSGRAD,32,FEMALE,1,0,0,0,1,0,0,8
4.75,12,HSGRAD,28,FEMALE,1,0,0,0,1,0,0,11
6.73,12,HSGRAD,20,MALE,0,0,0,0,1,0,0,6
11.11,12,HSGRAD,46,MALE,0,0,0,0,1,0,0,32
6,7,HSDROP,28,FEMALE,1,0,0,1,0,0,0,10
10,12,HSGRAD,38,MALE,0,0,0,0,1,0,0,22
11.25,12,HSGRAD,48,FEMALE,1,0,1,0,1,0,0,22
3.95,12,HSGRAD,27,FEMALE,1,0,0,0,1,0,0,5
17.5,16,BACH,35,MALE,0,1,0,0,0,0,1,17
3.55,13,HSGRAD,20,FEMALE,1,0,0,0,1,0,0,1
6,16,BACH,30,MALE,0,0,0,0,0,0,1,8
22,14,ASSOC,35,MALE,0,0,0,0,0,1,0,20
6.25,12,HSGRAD,24,FEMALE,1,0,0,0,1,0,0,0
4.5,7,HSDROP,27,MALE,0,0,1,1,0,0,0,14
10.32,13,HSGRAD,47,FEMALE,1,0,0,0,1,0,0,33
12.2,14,ASSOC,30,MALE,0,0,0,0,0,1,0,8
18.16,17,BACH,37,MALE,0,0,0,0,0,0,1,14
15,16,BACH,32,MALE,0,0,0,0,0,0,1,16
8.75,13,HSGRAD,29,FEMALE,1,0,0,0,1,0,0,10
19.98,14,ASSOC,64,MALE,0,0,0,0,0,1,0,42
6.67,16,BACH,32,FEMALE,1,0,0,0,0,0,1,10
9.63,14,ASSOC,42,MALE,0,0,0,0,0,1,0,25
5.5,11,HSDROP,35,MALE,0,0,0,1,0,0,0,23
8,12,HSGRAD,27,FEMALE,1,0,0,0,1,0,0,11
20,18,BACH,43,FEMALE,1,0,0,0,0,0,1,17
9.5,17,BACH,37,FEMALE,1,0,0,0,0,0,1,9
11.79,16,BACH,28,FEMALE,1,0,0,0,0,0,1,11
13.89,16,BACH,39,FEMALE,1,0,0,0,0,0,1,10
5.5,11,HSDROP,41,FEMALE,1,0,0,1,0,0,0,24
7,11,HSDROP,29,FEMALE,1,0,0,1,0,0,0,15
9.65,12,HSGRAD,56,FEMALE,1,0,0,0,1,0,0,32
10.61,15,ASSOC,54,FEMALE,1,0,0,0,0,1,0,35
3.75,2,HSDROP,24,MALE,0,0,1,1,0,0,0,17
12,14,ASSOC,30,FEMALE,1,0,0,0,0,1,0,10
8.56,14,ASSOC,34,FEMALE,1,0,0,0,0,1,0,7
16.14,14,ASSOC,36,MALE,0,0,0,0,0,1,0,16
3.75,11,HSDROP,28,MALE,0,0,0,1,0,0,0,4
9,16,BACH,28,FEMALE,1,1,0,0,0,0,1,11
13.12,12,HSGRAD,51,FEMALE,1,1,0,0,1,0,0,37
13.2,16,BACH,32,MALE,0,0,0,0,0,0,1,15
9.25,12,HSGRAD,37,MALE,0,0,0,0,1,0,0,25
5,12,HSGRAD,22,MALE,0,0,1,0,1,0,0,4
6,17,BACH,26,FEMALE,1,0,0,0,0,0,1,0
7,12,HSGRAD,50,FEMALE,1,0,0,0,1,0,0,25
4.7,8,HSDROP,33,MALE,0,0,0,1,0,0,0,22
7.5,16,BACH,44,FEMALE,1,0,0,0,0,0,1,20
7,18,BACH,57,MALE,0,0,0,0,0,0,1,34
11.22,18,BACH,43,MALE,0,0,0,0,0,0,1,24
5.71,18,BACH,27,MALE,0,0,0,0,0,0,1,3
5.5,12,HSGRAD,30,MALE,0,0,0,0,1,0,0,16
9,12,HSGRAD,34,MALE,0,0,0,0,1,0,0,13
4.13,12,HSGRAD,22,FEMALE,1,0,0,0,1,0,0,9
10,12,HSGRAD,29,MALE,0,0,0,0,1,0,0,12
7.5,12,HSGRAD,35,MALE,0,0,0,0,1,0,0,10
3.65,11,HSDROP,33,MALE,0,0,0,1,0,0,0,18
8.89,12,HSGRAD,36,MALE,0,0,0,0,1,0,0,22
18,18,BACH,39,MALE,0,0,0,0,0,0,1,15
3.35,14,ASSOC,20,MALE,0,1,0,0,0,1,0,3
13.45,16,BACH,30,MALE,0,1,0,0,0,0,1,12
22.5,16,BACH,39,MALE,0,0,0,0,0,0,1,19
19,18,BACH,37,MALE,0,0,0,0,0,0,1,18
8.93,12,HSGRAD,36,FEMALE,1,0,0,0,1,0,0,19
7,11,HSDROP,33,FEMALE,1,1,0,1,0,0,0,12
4.17,14,ASSOC,44,FEMALE,1,0,0,0,0,1,0,25
9.83,12,HSGRAD,41,MALE,0,0,0,0,1,0,0,21
6.67,12,HSGRAD,19,MALE,0,0,0,0,1,0,0,4
7,12,HSGRAD,28,FEMALE,1,0,0,0,1,0,0,7
3.64,12,HSGRAD,60,FEMALE,1,0,0,0,1,0,0,37
22.83,18,BACH,61,FEMALE,1,0,0,0,0,0,1,34
5,12,HSGRAD,32,FEMALE,1,0,0,0,1,0,0,15
22.5,18,BACH,38,MALE,0,0,0,0,0,0,1,19
12,12,HSGRAD,29,FEMALE,1,0,0,0,1,0,0,14
6.28,12,HSGRAD,56,FEMALE,1,0,0,0,1,0,0,32
4.5,12,HSGRAD,21,FEMALE,1,0,0,0,1,0,0,1
6,12,HSGRAD,27,MALE,0,0,0,0,1,0,0,14
6.75,10,HSDROP,29,MALE,0,0,0,1,0,0,0,15
8.75,12,HSGRAD,27,MALE,0,0,0,0,1,0,0,9
13.28,16,BACH,33,MALE,0,0,0,0,0,0,1,14
6.25,13,HSGRAD,49,FEMALE,1,0,0,0,1,0,0,23
8.99,12,HSGRAD,33,FEMALE,1,0,0,0,1,0,0,13
7.5,14,ASSOC,22,MALE,0,0,0,0,0,1,0,1
12,17,BACH,47,FEMALE,1,0,0,0,0,0,1,25
14,18,BACH,55,FEMALE,1,0,0,0,0,0,1,23
16.42,14,ASSOC,39,MALE,0,0,0,0,0,1,0,22
6.25,14,ASSOC,22,MALE,0,0,0,0,0,1,0,6
10.5,12,HSGRAD,22,MALE,0,0,0,0,1,0,0,2
9.5,9,HSDROP,61,FEMALE,1,0,0,1,0,0,0,50
3,6,HSDROP,55,FEMALE,1,0,1,1,0,0,0,41
9.22,14,ASSOC,33,FEMALE,1,0,0,0,0,1,0,19
4,12,HSGRAD,33,FEMALE,1,0,0,0,1,0,0,11
3.8,12,HSGRAD,34,FEMALE,1,0,0,0,1,0,0,22
6,12,HSGRAD,37,FEMALE,1,0,0,0,1,0,0,21
5,12,HSGRAD,46,FEMALE,1,0,0,0,1,0,0,28
15,12,HSGRAD,60,MALE,0,0,0,0,1,0,0,40
5.55,11,HSDROP,62,FEMALE,1,0,0,1,0,0,0,39
9,16,BACH,29,MALE,0,1,0,0,0,0,1,9
24.98,17,BACH,54,MALE,0,0,0,0,0,0,1,28
8.49,12,HSGRAD,42,FEMALE,1,0,0,0,1,0,0,20
5,14,ASSOC,37,FEMALE,1,0,1,0,0,1,0,20
22.2,12,HSGRAD,44,MALE,0,0,0,0,1,0,0,32
9.24,16,BACH,27,MALE,0,1,0,0,0,0,1,10
